"file_code","dataset_id","NCBI_SRA_accession","NCBI_SRA_biosample","sample_code","DNA_RNA","fraction_name","sample_fixation","reads_total","reads_corrected_total","reads_corrected_photo","reads_final","project","cruise","station_id","date","depth_level","depth","elevation","substrate","latitude","longitude","site_name","country","oceanic_region","biome","vegetation","climate","bottom_depth","temperature","salinity","ice_coverage","Chla","NO3","NH4","PO4","Si","dataset_code","dataset_name","gene","gene_region","organelle","region","ecosystem","ecosystem_climate","substrate_type","label","ss_temperature","coalesce_salinity"
"ERR4227249",205,"ERR4227249","","","DNA","total","",132483,130727,10310,NA,"Tara","Tara Oceans","TARA_141","2011-01-02","surface",5,NA,"water",9.8481,-80.0454,"","","",NA,NA,"tropical",NA,27.119358,34.347208,NA,NA,-1.723962,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_141-surface-water",28.5075,34.347208
"ERR4227250",205,"ERR4227250","","","DNA","total","",154212,152673,4566,NA,"Tara","Tara Oceans","TARA_143","2012-01-01","surface",5,NA,"water",29.6394,-79.5395,"","","",NA,NA,"tropical",NA,24.997917,36.212042,NA,NA,1.190321,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_143-surface-water",27.0848125,36.212042
"ERR4227251",205,"ERR4227251","","","DNA","total","",154405,152997,4635,NA,"Tara","Tara Oceans","TARA_143","2012-01-01","surface",5,NA,"water",29.6394,-79.5395,"","","",NA,NA,"tropical",NA,24.997917,36.212042,NA,NA,1.190321,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_143-surface-water",27.0848125,36.212042
"ERR4227252",205,"ERR4227252","","","DNA","total","",154037,152909,9511,NA,"Tara","Tara Oceans","TARA_144","2012-01-01","surface",5,NA,"water",36.3698,-72.9669,"","","",NA,NA,"tropical",NA,22.550758,36.4108,NA,NA,-0.008183,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_144-surface-water",24.0491875,36.4108
"ERR4227253",205,"ERR4227253","","","DNA","total","",154508,153308,9643,NA,"Tara","Tara Oceans","TARA_144","2012-01-01","surface",5,NA,"water",36.3698,-72.9669,"","","",NA,NA,"tropical",NA,22.550758,36.4108,NA,NA,-0.008183,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_144-surface-water",24.0491875,36.4108
"ERR4227254",205,"ERR4227254","","","DNA","total","",181089,179871,31368,NA,"Tara","Tara Oceans","TARA_145","2012-01-02","surface",5,NA,"water",39.2305,-70.0377,"","","",NA,NA,"temperate",NA,14.11885,35.18335,NA,NA,3.478193,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_145-surface-water",17.92275,35.18335
"ERR4227255",205,"ERR4227255","","","DNA","total","",181012,179687,31070,NA,"Tara","Tara Oceans","TARA_145","2012-01-02","surface",5,NA,"water",39.2305,-70.0377,"","","",NA,NA,"temperate",NA,14.11885,35.18335,NA,NA,3.478193,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_145-surface-water",17.92275,35.18335
"ERR4227256",205,"ERR4227256","","","DNA","total","",202330,200148,48648,NA,"Tara","Tara Oceans","TARA_146","2012-01-02","surface",5,NA,"water",34.6712,-71.3093,"","","",NA,NA,"tropical",NA,19.1288,36.4626,NA,NA,0.859819,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_146-surface-water",23.0085,36.4626
"ERR4227257",205,"ERR4227257","","","DNA","total","",202331,199772,48633,NA,"Tara","Tara Oceans","TARA_146","2012-01-02","surface",5,NA,"water",34.6712,-71.3093,"","","",NA,NA,"tropical",NA,19.1288,36.4626,NA,NA,0.859819,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_146-surface-water",23.0085,36.4626
"ERR5101480",388,"ERR5101480","SAMEA7819950","36420","DNA","total","",NA,70234,7782,70836,"","PS113","","2018-05-24","surface",11,NA,"water",-2.23,-25.034,"","","Atlantic Ocean",NA,NA,"tropical",NA,28.12,36.038,NA,NA,NA,NA,NA,NA,"Atlantic_transect_PS113_2018","Atlantic transect - cruise PS113 - 2018","18S rRNA","V4","nucleus","Atlantic Ocean","oceanic","global","water","388-Atlantic_transect_PS113_2018--surface-water",26.7830769230769,36.038
"ERR5101481",388,"ERR5101481","SAMEA7819951","36421","DNA","total","",NA,75405,9399,75737,"","PS113","PS113_S101","2018-05-24","surface",11,NA,"water",-1.842,-25,"","","Atlantic Ocean",NA,NA,"tropical",NA,27.96,36.056,NA,NA,0.01,NA,0.03,2.31,"Atlantic_transect_PS113_2018","Atlantic transect - cruise PS113 - 2018","18S rRNA","V4","nucleus","Atlantic Ocean","oceanic","global","water","388-Atlantic_transect_PS113_2018-PS113_S101-surface-water",26.780125,36.056
